tokens_per_sec,prompt_tokens,generated_tokens,total_time_ms,prompt_time_ms,generation_time_ms,memory_mb,model,threads,n_tokens,timestamp,run
5.57,0,0,3419.04,904.49,2511.58,0,phi-2.Q4_K_M.gguf,1,64,2026-01-05T19:27:40.554655,1
4.97,0,0,13614.99,922.36,12683.39,0,phi-2.Q4_K_M.gguf,1,64,2026-01-05T19:27:57.154467,2
5.05,0,0,1215.62,1015.72,197.86,0,phi-2.Q4_K_M.gguf,1,64,2026-01-05T19:28:01.547339,3
8.88,0,0,7625.29,520.04,7094.87,0,phi-2.Q4_K_M.gguf,2,64,2026-01-05T19:28:12.207078,1
7.85,0,0,8526.36,485.75,8028.9,0,phi-2.Q4_K_M.gguf,2,64,2026-01-05T19:28:23.746991,2
8.53,0,0,7967.6,567.3,7389.51,0,phi-2.Q4_K_M.gguf,2,64,2026-01-05T19:28:34.703298,3
13.1,0,0,4104.85,356.6,3740.23,0,phi-2.Q4_K_M.gguf,3,64,2026-01-05T19:28:41.552610,1
12.28,0,0,5484.82,342.94,5131.7,0,phi-2.Q4_K_M.gguf,3,64,2026-01-05T19:28:49.830485,2
11.93,0,0,4825.93,373.84,4442.38,0,phi-2.Q4_K_M.gguf,3,64,2026-01-05T19:28:57.544763,3
14.48,0,0,4702.12,338.58,4351.98,0,phi-2.Q4_K_M.gguf,4,64,2026-01-05T19:29:05.056890,1
14.32,0,0,4516.25,315.77,4189.41,0,phi-2.Q4_K_M.gguf,4,64,2026-01-05T19:29:12.321036,2
16.54,0,0,738.19,312.39,423.21,0,phi-2.Q4_K_M.gguf,4,64,2026-01-05T19:29:15.760418,3
15.64,0,0,4346.62,304.97,4027.07,0,phi-2.Q4_K_M.gguf,6,64,2026-01-05T19:29:22.950640,1
14.72,0,0,4196.76,311.11,3872.06,0,phi-2.Q4_K_M.gguf,6,64,2026-01-05T19:29:29.959950,2
15.33,0,0,4426.72,303.57,4109.0,0,phi-2.Q4_K_M.gguf,6,64,2026-01-05T19:29:37.283379,3
16.46,0,0,4144.44,301.28,3826.73,0,phi-2.Q4_K_M.gguf,8,64,2026-01-05T19:29:44.264617,1
15.42,0,0,4404.35,302.3,4085.46,0,phi-2.Q4_K_M.gguf,8,64,2026-01-05T19:29:51.711993,2
10.47,0,0,6387.18,350.01,6018.14,0,phi-2.Q4_K_M.gguf,8,64,2026-01-05T19:30:01.225943,3
11.98,0,0,1537.18,362.54,1168.73,0,phi-2.Q4_K_M.gguf,12,64,2026-01-05T19:30:05.773235,1
16.57,0,0,1148.09,298.18,845.12,0,phi-2.Q4_K_M.gguf,12,64,2026-01-05T19:30:09.875455,2
14.62,0,0,4627.23,299.2,4310.55,0,phi-2.Q4_K_M.gguf,12,64,2026-01-05T19:30:17.348468,3
13.35,0,0,5073.84,337.03,4718.98,0,phi-2.Q4_K_M.gguf,16,64,2026-01-05T19:30:25.353853,1
13.06,0,0,3997.91,307.41,3676.51,0,phi-2.Q4_K_M.gguf,16,64,2026-01-05T19:30:32.292746,2
12.9,0,0,5209.73,308.42,4883.63,0,phi-2.Q4_K_M.gguf,16,64,2026-01-05T19:30:40.481891,3
